Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
EMBRAPII - Desenvolvimento e avaliação de magneto-ensaio para detecção de biomarcadores voltados para o diagnóstico de COVID-19 para rápida implementação O objetivo do projeto de extensão é desenvolver e aprimorar os métodos que nosso grupo vem estudando para o diagnóstico de COVID-19 em parceria com a empresa Interprise Brasil visando obter um produto comercial para rápida implementação. O projeto proposto é um desafio tecnológico importante para a inserção no mercado dos métodos desenvolvidos por meio da produção em curto prazo de um novo teste que permita o diagnóstico de COVID-19 em larga escala podendo vir a auxiliar a testagem em massa da população.																																																				
EMBRAPII:  Pesquisa  e  Desenvolvimento  de  Novos  Materiais  e Processos para Redução do Consumo de Soda Cáustica e Água no Processo de CIP da Cervejaria 1)    Redução   de   Carbonato: Atividades   de   P&D&I   nos aspectos   que influenciam    a    FORMAÇÃO    de    carbonato    no    CIP	PESQUISAR metodologias para REDUÇÃO do carbonato; 2)       CIP  Filtro  Prensa:Analisar  o  processo  de  CIP  no  filtro  prensa	avaliar metodologias viáveis para REUSO da solução de NaOH e propor uma solução escalável; 3)    Filtração   Packing: Analisar   o   processo   de   CIP   no   Packing	avaliar metodologias viáveis para filtração de macro particuladosna solução de NaOH e propor uma solução escalável.																																																	
EMBRAPII: Fragilização Hidrogênio Titânio O titânio e suas ligas são materiais interessantes para a indústria de óleo e gás offshore devido à sua elevada resistência à corrosão e alta resistência especifica. A fragilização por hidrogênio tem sido um fator importante que limita o aumento do uso de ligas de titânio na água do mar e em alguns outros meios corrosivos	como o sulfeto de hidrogênio. Portanto	faz-se necessário esclarecer a natureza do processo de degradação por fragilização por hidrogênio	e testar as suscetibilidades relativas em função de diversos fatores	tais como temperatura	proteção catódica e sob carregamento mecânico. A liga de titânio UNS 56404 Gr 29 (Ti-6Al-4V + 0	1%Ru ELI	ASTM B381) pode ser empregada em componentes tubulares flangeados e é passível de sofrer fragilização por hidrogênio. Caso o polímero protetor que reveste o componente seja danificado	a proteção catódica por corrente impressa pode introduzir hidrogênio na peça levando a formação de hidretos fragilizantes. Outra possibilidade é na operação de tratamento térmico em alta temperatura. O hidrogênio tem maior solubilidade na fase de alta temperatura	a beta. Quando da transformação parcial da fase beta em alfa com a diminuição da temperatura	o hidrogênio tende a se concentrar na interface entre as fases e	se atingir um nível crítico	levar a formação de hidretos que resultam em fragilização. Esse projeto visa: i) realizar uma extensa revisão sobre fragilização pelo hidrogênio de ligas de titânio	ii) caracterizar a microestrutura da liga UNS 56404 Gr 29 (volume e distribuição das fases alfa e beta para diferentes condições de processamento: grau de deformação e tratamento térmico) e para diferentes condições de trabalho: temperatura e potencial de proteção catódica	iii) avaliar a permeação eletroquímica de hidrogênio bem como avaliar a dessorção a temperatura programada e iv) determinar valores críticos de hidrogênio que podem levar à fragilização da liga tanto pelo alto teor de hidrogênio em solução sólida quanto pela formação de hidretos. Essa fragilização será avaliada através de um programa extenso de ensaios mecânicos estáticos e dinâmicos	detalhados no item METODOLOGIA. O RESULTADO esperado para o projeto será a determinação do tempo máximo de exposição em função da temperatura	potencial eletroquímico (proteção catódica) e tipo de carregamento mecânico para que não ocorra fragilização pelo hidrogênio da liga estudada	considerando-se ainda a velocidade de formação e profundidade dos hidretos de titânio formados.																																			
EMBRAPII: Investigação da influência do tamanho de partículas e modificação química na eficiência de uma nova classe de aceleradores para vulcanização de borrachas. O óxido de zinco é um dos componentes essenciais em vulcanização de borrachas vulcanizadas	atuando como ativador da vulcanização. No entanto	uma série de questionamentos a respeito de seu impacto ambiental tem sido levantada	incentivando a busca de ativadores mais sustentáveis. O Oxi-Rubber	produto a ser investigado no presente trabalho	apresenta-se como um potencial ativador alternativo	composto de óxidos com reduzido impacto ambiental	além de ter como vantagem adicional	seu custo consideravelmente inferior ao do ZnO. Este trabalho visa investigar formas de aumentar a eficiência deste material a partir de modificações químicas e diminuição do tamanho de partículas.																																												
EMBRAPII: NANOESTRUTURAÇÃO DO INOCULANTE TIBAL ATRAVÉS DE MOAGEM DE ALTA ENERGIA Este  projeto  tem  como  objetivo  investigar  a utilização  do  método  de  moagem  de  alta  energia (MAE)  em  moinho  planetário  para  refinar  a  estrutura  das  fases  presentes  em  um  inoculante comercial a base de Ti-B-Al (a ser fornecido pela CBA) à nível nanométrico. Ademais	tem com objetivo investigar o efeito da nanoestruturação do inoculante no poder de refino do tamanho de grão de uma liga de alumínio (a ser definida conjuntamente pela CBA e UFSCar)	que será fundida em escala laboratorial em um processo de fundição em molde de areia. Por fim	tem-se como um terceiro objetivo avaliar a microestrutura de um lingote produzido por fundição e inoculado com o inoculante processado por MAE após passar por um processo de laminação a frio e tratamento térmico de recristalização.																																																	
EMBRAPII: Síntese e caraterização de nanopartículas de cobre a partir de resíduo de cobre metálico Essa proposta tem por interesse tecnológico o desenvolvimento de uma rota para obtenção de nanopartículas de cobre e oxido de cobre a partir de resíduos de cobre da empresa e posterior agregação na ração animal buscando melhorar a absorção dos nutrientes.																																																				
EMBRAPII: Uso de sucata de usinagem de aço inoxidável na produção de pó metálico para aplicação em manufatura aditiva O objetivo do presente trabalho é avaliar o uso de sucata de usinagem na produção de pó metálico de aço 316L para aplicação em manufatura aditiva. Pós serão fabricados por atomização a gás utilizando material reciclado e material virgem	sendo esses aplicados na fabricação de peças por manufatura aditiva através do processo de Fusão de Leito de Pó por Laser. As amostras produzidas serão caracterizadas e os resultados obtidos para o material reciclado e material virgem serão comparados.																																																			
EMBRAPII: utilização de resíduo proveniente de desbaste de vidros processados como matéria prima na indústria vidreira o  presente  projeto  tem  por  objetivo  caracterizar  o resíduo  sólido  (tortas) gerado  no  processo  de  polimento  e  desbaste  descrito acima	e  após  tratamento	utilizar  esse  resíduo  para  a  obtenção  de  vidro  em escala laboratorial	com propriedades semelhantes às do vidro plano que gerou o  resíduo.  Caracterizar  o  vidro  assim  obtido  e  avaliar  os  impactos  do  uso  do resíduo na síntese deste vidro.																																																	
Pesquisa e Desenvolvimento de Novos Materiais e Processos para Reuso de Água nos Processos da Cervejaria 1)    Redução   de   Carbonato: Atividades   de   P&D&I   nos aspectos   que influenciam    a    FORMAÇÃO    de    carbonato    no    CIP	PESQUISAR metodologias para REDUÇÃO do carbonato; 2)       CIP  Filtro  Prensa:Analisar  o  processo  de  CIP  no  filtro  prensa	avaliar metodologias viáveis para REUSO da solução de NaOH e propor uma solução escalável; 3)    Filtração   Packing: Analisar   o   processo   de   CIP   no   Packing	avaliar metodologias viáveis para filtração de macro particuladosna solução de NaOH e propor uma solução escalável.																																																	
Pesquisa	desenvolvimento	testes e validação de metodologia de soldagem de chapas finas de aço inox	"e sua técnica de automação ""Na  linha  de  montagem  de  aquecedores  solares"	o  processo  de  soldagem  é  a  etapa crítica  que define  o  gargalo  na  produção  atual  do  produto.  No  contexto  deste  projeto	atualmente	esse processo  é  realizado  em  três  estações  de  trabalho	com  operação  totalmente  manual  e  com problemas relacionados à qualidade da solda	como por exemplo	corrosão no cordão de solda e na  zona  termicamente  afetada  (ZTA).  Um  dos  motivos  para  estas  falhas	"é  a  complexidade  da operação de solda em chapas de espessura tão fina (de 0.4mm até 2.0mm). Além disso é desejável que  tal  solda  seja  uma  solda  """"sanitária"""""	permitindo  aumentar  as  possibilidades  de  aplicação  e segurança do produto acabado. Neste sentido	este projeto visa a pesquisa e desenvolvimento de metodologias e técnicas que viabilizem a solda circunferencial de reservatórios de aquecedores solares de forma robusta	"eficaz e com baixo índice de retrabalho."""																																							
PREPARO E CARACTERIZAÇÃO DE NANOPARTÍCULAS POLIMÉRICAS EM SUSPENSÃO COLOIDAL CARREGADAS COM PIRETRINAS NATURAIS E ICARIDINA Desenvolvimento e caracterização de nanopartículas em suspensão coloidal carregadas com produtos de controle de insetos pragas	com destaque para: 2.1 Nanopartículas carregadas com uma piretrina de origem natural para aplicação em aerossóis; 2.2 Nanopartículas carregadas com icaridina para aplicação em aerossóis	loções e cremes; 2.3 Desenvolvimento de nanopartículas estáveis para uso em repelentes aerossol	loções e cremes; 2.4 Busca de novos materiais para uso no desenvolvimento das nanopartículas estáveis e eficientes no nanoencapsulamento e vetorização dos compostos ativos	biocompatíveis	biodegradáveis e de baixo custo.																																															
Simulação de propriedades de materiais refratários Trata-se de projeto de simulação de resistência mecânica  de materiais refratários																																																				
TOQUE DE MIDAS: transformando resíduos têxteis em materiais primas O poli (tereftalato de etileno) (PET) é um dos polímeros mais utilizados mundialmente	especialmente em embalagens de rápido descarte e no mercado de fibras têxteis. A resina PET destinada ao mercado de embalagens rígidas e de engenharia possui uma viscosidade intrínseca (VI) maior que as aplicações no mercado têxtil	sendo esta uma das propriedades mais importantes para indicar o segmento ao qual este material poderá ser empregado. A viscosidade intrínseca	comumente expressa em dL/g	é uma medida direta da massa molar do polímero. Um dos principais resíduos sólidos gerado pelo ramo de confecções reside em retalhos de tecidos originados dos processos na cadeia produtiva. Dentre os materiais encontrado na composição das fibras sintéticas tem-se destaque o PET e as poliamidas. Uma das maneiras mais viáveis de agregar valor a este rejeito seria a sua reciclagem mecânica para a produção de matéria prima que	dependendo da massa molar	poderia ser empregada em diversos segmentos de mercado. Entretanto	as altas taxas de cisalhamento e temperatura	em conjunto com a presença de contaminantes	pode resultar na queda da massa molar reduzindo o valor agregado deste material. Modular a massa molar deste polímero pode ser conseguido por várias formas	dentre as quais tem-se destaque a polimerização no estado sólido	aditivação e extrusão reativa.																																									
APP Sybioma UFV A Plataforma digital da Sybioma	com a ajuda deste projeto	visa gerar de forma simples e automática um projeto de restauração de propriedades rurais	oferecendo uma alternativa com maior custo benefício ao modelo tradicional de contratação do serviço e proporcionar autonomia e agilidade ao proprietário rural na elaboração e monitoramento dos projetos de restauração.																																																	
Bambu na industria de carvão Na busca por alternativas viáveis e sustentáveis	avaliar o bambu como suprimento de matéria prima é algo fundamental	tendo em vista que as características físico-químicas das espécies de bambu tornam o biocombustível similar a outros combustíveis derivados de madeira. Entre as fontes alternativas	o bambu pode ser destacado por apresentar algumas propriedades similares à madeira e outros materiaislignocelulósicos em termos de teor de carbono e potencial calorífico (NMBA	2005)	além da vantagem econômica	uma vez que atinge seu pleno crescimento em apenas alguns meses e alcança sua máxima resistência mecânica em poucos anos. Algumas espécies de bambus apresentam potencial para fins energético	principalmente	espécies com colmos totalmente sólidos	como exemplo o Dendrocalmus stricus.  Entretanto	há a necessidade de iniciar projetos que visem o maior estudo de tal espécie	buscando assim	obter resultados satisfatórios quebrando os desafios. Dessa forma	o projeto visa avaliar as características das espécies de bambu como matéria prima para produção de carvão vegetal.																																							
Bambu UFV Desenvolvimento de tecnologia de produção de celulose com bambu.																																																				
Biomassa Alternativa BC O projeto proposto visa desenvolver tecnologias para a obtenção de fibras alternativas a partir da biomassa de bambu e de cana-de-açúcar	bem como avaliar as propriedades físico-químicas e mecânicas das fibras e dos papéis tissue produzidos. O projeto também pretende realizar uma análise do ciclo de vida dos produtos	comparando-os com os papéis tissue convencionais	produzidos a partir de fibra de madeira ou reciclada. Espera-se que o projeto contribua para o avanço do conhecimento científico e tecnológico na área de papel e celulose	bem como para o desenvolvimento de produtos inovadores	competitivos e sustentáveis para o mercado consumidor.																																															
Bioprodutos Lignocelulósicos Esse projeto busca	assim	fornecer subsídios sólidos para a implementação de uma tecnologia inovadora e sustentável de produção de biochar a partir de resíduos lenhosos florestais. Com a promoção da utilização do biochar como estratégia de mitigação de GEE e a possibilidade de gerar créditos de carbono	espera-se contribuir significativamente para a redução das emissões e para a conservação do meio ambiente. Além disso	o aproveitamento de resíduos florestais como matéria-prima para a produção de biochar também pode trazer benefícios sociais e econômicos	impulsionando a economia circular e promovendo a sustentabilidade na indústria florestal.																																															
Biossoluções em Dendê As biossoluções vegetais são qualquer substância ou microrganismo aplicado às plantas com o objetivo de aumentar a eficiência nutricional	a tolerância ao estresse abiótico e/ou as características de qualidade da cultura	independentemente do seu teor de nutrientes. O presente trabalho terá como objetivo testar o efeito destes produtos na produção de mudas de Dendê (Elaeis guineensis	Jacq) e estabelecer um protocolo de aplicação. Isso poderá promover melhorias na cultura do dendezeiro	através da: diminuição do tempo de expedição das mudas	redução dos custos com as mudas no viveiro	maior taxa de sobrevivência na implantação e redução de replantios.																																														
Celulose e Papel Os resíduos gerados no processo industrial de produção de celulose e papel	bem como os resíduos gerados em estações de tratamento de efluentes industriais e urbanos	constituem um problema típico das indústrias devido aos impactos ambientais e à grande quantidade de resíduos que são gerados diariamente. A tecnologia proposta permite o tratamento destes resíduos	possibilitando a sua destinação correta. Além de solucionar o problema ambiental	a possibilidade de reaproveitamento dos subprodutos gerados no tratamento gera valor econômico e ambiental agregado a estes resíduos. Esta possibilidade tem grande potencial para tornar a tecnologia técnica e economicamente viável	visto que o valor econômico dos subprodutos gerados equilibra (e supera) os custos de implantação e de operação da tecnologia.																																															
Clones Bambu Identificar materiais genéticos adaptados às áreas da empresa	onde sofre ocorrências de geadas e inundações. Visa também recomendar o manejo correto para aproveitar o potencial genético dos indivíduos selecionados.																																																			
Coco verde O crescente aumento na produção de carvão vegetal nos últimos anos para fins energéticos	está interligado a substituição do carvão mineral	e	consequentemente na redução nas emissões de gases do efeito estufa gerados no processo de produção (GEE	2019). Em países de clima tropical como o Brasil	são produzidos milhões de toneladas de resíduos agroflorestais por ano	provenientes das principais culturas brasileiras	das atividades agrossilvipastoris	manejo florestal e colheita. ( SCHNEIDER	2012)	dentre as quais destaca-se os resíduos de coco verde provenientes de vendas ao varejo do próprio coco	bem como de comercialização em garrafas (água de coco).  Segundo o Documento Técnico da Embrapa (2019)	no Brasil são produzidos anualmente mais de 2 milhões de toneladas de frutos de coco	e 80% do peso total são consideradas cascas	logo o volume gerado desses resíduos é bastante expressivo	totalizando em aproximadamente 729 mil toneladas ao ano e a região sudeste gerando aproximadamente 56 mil ton/ano. Deste modo	o aproveitamento dos resíduos do coco tem potencial para colaborar com a demanda de madeira para geração de energia	bem como na produção de carvão vegetal (biochar)	para a diminuição dos impactos ambientais causados devido ao acúmulo desses resíduos	geração de empregos e renda e contribuir com o desenvolvimento regional ( SCHNEIDER	2012).																																
Corymbia - Fase 2 A maioria dos genótipos comerciais utilizados no Brasil são do gênero Eucalyptus	e esses materiais são de baixa densidade básica e tem demonstrado baixa adaptação há algunas regiões do Brasil. A densidade é uma característica muito importante tanto no cozimento da madeira quando se busca produtividade dos digestores e rendimento do carvão quando se busca produtividade dos fornos e maior produção de energia por hectare	entre outros. O género Corymbia possui característica de boa densidade e tem mostrado bom potencial de produtividade	porém existe uma grande carência de materiais genéticos selecionados desse genêro e o que está disponível muitas vezes está protegido por patentes. Assim	o projeto visa desenvolver materias genéticos desse género para o desenvolvimento do setor florestal brasileiro.																																																
Desenvolvimento de compósito de Plástico-Bambu UFV Desenvolvimento de um compósito de misturas (Bambu + PLA) processado por filamento fundido.																																																				
Desenvolvimento de curvas de carbonização UFV Desenvolvimento de curvas de carbonização para clones de Eucalytpus e Corymbia baseadas em novos indicadores de qualidade da madeira e do carvão vegetal como subsidio para seleção genética visando produção de ferro gusa verde.																																																				
Desenvolvimento de produtos de ação hidro-repelente e antifúngico UFV Desenvolvimento de uma formulação química com ação hidro-repelente e antifúngico para bambu.																																																				
Destoca biológica A presença de tocos e raízes remanescentes após colheita do eucalipto ou do pinus é um entrave para a passagem de máquinas e implementos para um novo ciclo de manejo da cultura. A remoção dos tocos é realizada de forma mecânica que além de ser uma operação onerosa pode provocar prejuízos para o ecossistema. Desta forma	o cultivo controlado dos microrganismos via fermentação semissólida empregando subprodutos lignocelulósicos como fontes de carbono poderá proporcionar a obtenção da maquinaria enzimática estável e eficiente para aplicação direta e acelerar a degradação dos tocos de madeira associada ou não a estabilizantes	matrizes de imobilização enzimática e/ou microrganismos benéficos.																																																		
Eficiência Hídrica Alinhados à crescente demanda mundial pela adoção de métodos de produção mais sustentáveis e com menor impacto no meio ambiente	a preservação e utilização racional dos recursos hídricos tem ganhado especial destaque nas discussões sobre redução de impactos ao meio ambiente. Dessa forma	o sistema a ser desenvolvido permitirá o monitoramento intensivo do consumo de água nas operações de produção do viveiro	identificando em tempo real situações de consumo anormal e gerando dados que embasem protocolos e práticas de uso racional da água captada.																																																	
Embriogênese de Coco Sistemas de regeneração in vitro	como embriogênese somática	são cruciais para a clonagem de diversas espécies de palmeiras	especialmente a Cocos nucifera (coco)	devido às dificuldades na propagação vegetativa convencional. Protocolos bem-sucedidos de embriogênese somática foram desenvolvidos a partir de tecidos zigóticos	especificamente plúmulas de embriões. No entanto	o tecido plumular pode não ser ideal para obter clones fiéis de genótipos elite adultos. Folhas imaturas e inflorescências surgem como alternativas promissoras	apesar de relatos na literatura indicarem baixa taxa de resposta e longo período de desenvolvimento (6 meses) para embriões somáticos a partir de folhas de plantas com 5 anos. A elevada recalcitrância de C. nucifera também impacta a eficiência do processo embriogênico. Estudos visando otimizar esses sistemas embriogênicos podem contribuir para o desenvolvimento de processos comerciais de clonagem direta de indivíduos maduros	previamente avaliados e selecionados em programas de melhoramento genético																																												
Embriogênese Somática de Pinus O presente projeto tem como objetivo estabelecer um sistema de propagação de Pinus taeda L.	via embriogênese somática	a partir do cultivo in vitro de meristemas e primórdios foliares imaturos. A execução desse projeto contribuirá para o desenvolvimento de ferramentas biotecnológicas de Pinus e subsidiará tomadas de decisões a fim de viabilizar a propagação clonal dessa importante espécie silvicultural. Resultados preliminares obtidos pelo laboratório de Cultura de Tecidos Vegetais da Universidade Federal de Viçosa evidenciaram a formação de calos a partir do cultivo de meristemas e explantes foliares de P. taeda quando cultivados em meio de indução. Contudo	novos ensaios são necessários para otimizar o processo de indução de linhagens embriogênicas	maturação e a conversão dos embriões somáticos em plântulas. O sucesso da embriogênese somática a partir de órgãos vegetativos trará possibilitará a clonagem direta de genótipos elites da espécie.																																																
Enraizamento de Corymbia A maioria das espécies do gênero Corymbia são consideradas recalcitrantes a rizogêneses	com níveis de enraizamento normalmente abaixo de 5%	o que tem dificultado sua utilização em programas clonais (ASSIS	2014)	exceto a espécie C. torelliana ou seus híbridos	a qual possui maior capacidade de enraizamento. Fonseca et al (2010) já havia apontado a espécie como mecanismo potencial para facilitar a multiplicação via miniestaquia dos clones de Corymbia. Assis et al (2015) abordaram também a utilização do C. torelliana no desenvolvimento de clones híbridos deste gênero	a qual tende a proporcionar maior capacidade de propagação clonal	com outras espécies como C. citriodora	C. maculata	C. henryi e C. intermedia.  Além da hibridação	outras técnicas vêm se desenvolvendo para contornar a dificuldade de enraizamento da maioria dos genótipos de Corymbia. Dentre elas cita-se o rejuvenescimento e revigoramento oriundo das técnicas de micropropagação (Xavier e Comério 1996; Assis	2001; Alfenas et al.	2009) e a automação e desenvolvimento de protocolos operacionais em viveiros customizados aos genótipos.  Dessa forma	o projeto visa desenvolver uma serie de experimentos para otimizar a produção de 9 clones de Corymbia.																																							
Eventos Climáticos no Manejo de Eucalipto As mudanças climáticas são inevitáveis	sendo assim	o planejamento estratégico do poder público e particularmente das empresas a buscarem meios de atenuação dss potenciais perdas econômicas é de suma importância.   A estratégia mais eficiente baseia-se no conhecimento antecipado das condições climáticas futuras e compreensão de como os plantios podem responder a essas mudanças. Neste sentido	não é suficiente o conhecimento de condições médias de temperatura e precipitação (climatologia)	ou mesmo o comportamento sazonal. O entendimento e caracterização dos extremos para um futuro próximo bem como para as décadas futuras de 2020-2400	são cruciais para a tomada de decisão	nesse sentido se faz a presente pesquisa.																																														
Filtro  automotivo sustentável O  projeto visa utilizar o bagaço de cana-de-açúcar em conjunto com polpa kraft de pinus para obtenção de polpa celulósica para produzir mídias filtrantes para a indústria automotiva. O bagaço é um resíduo abundante no Brasil e pode gerar materiais de maior valor agregado	tais como papéis especiais aplicados como mídias filtrantes utilizadas nos sistemas de filtração de ar e de combustíveis na indústria automotiva.																																																			
Florescimento de Dendê dendezeiro é uma palmeira originária da África	que desenvolve o fruto em cachos	de onde se extraem diversos subprodutos	em especial o óleo da polpa ou o azeite de dendê e o óleo da amêndoa ou óleo de palmiste.  palma do dendê é uma das mais produtivas oleaginosas	com um rendimento variando de 4 a 6 ton. de óleo por hectare. O fruto possui em sua constituição uma pele externa que é denominada de exocarpo; uma polpa que é denominada de mesocarpo e que contém o óleo em uma matriz fibrosa; a noz central constituída por uma casca é denominada de endocarpo; e o kernel possui um óleo parecido com o óleo de coco (POKU	2002).  A vida útil de caráter econômico de uma planta de dendê	está associada à estatura da planta	já que a altura de cada dendê afeta o custo da colheita. A planta mais curta facilita a colheita e a melhor recuperação dos frutos contribui	portanto	para o aumento da produtividade dos cachos frescos dos frutos. Neste sentido	o objetivo deste projeto é estudar o efeito de reguladores de crescimento  na redução de altura	copa e sincronização de maturação de frutos de Dendê.																																									
Flutuações Ambientais A partir da quantificação das informações coletadas	a ideia é utilizar de modelos matemáticos para generalizar as características produtivas vegetais medidas em escala local	para escalas produtivas	e assim avançar rumo à compreensão de como plantios de eucalipto poderão responder às mudanças previstas. Tal modelo será ainda integrado á gestão florestal da empresa de modo a fornecer orientações para realizar estimativas sobre a produção frente às variações climáticas.																																																	
Formigas Cortadeiras UFV Desenvolvimento de uma Isca formicida visando substituir as atuais iscas comerciais a base de sulfluramida.																																																				
Formigas Cortadeiras UFV - Fase 2 Estudos preliminares	testes laboratoriais e em campo confirmam a ação deletéria da azadiractina no fungo cultivado pelas formigas e o potencial de uso de uma isca a base do composto no controle desses insetos. A azadiractina	apresenta como vantagens	além dos diferentes modos de ação	o fato de ser considerado um biopesticida de baixa toxicidade a mamíferos que é degradado facilmente no ambiente. Unir a ação inseticida a uma possível ação fungicida no controle das formigas- cortadeiras configura uma grande estratégia contra esses insetos	além de sua veiculação em iscas nas colônias.																																															
Geadas UFV No Brasil	um dos fenômenos ambientais que mais causam prejuízos econômicos ao setor florestal é a geada	que ocorre com maior frequência na região centro-sul do país.  Os danos que a geada pode causar às árvores são variados	o que inclui injúrias ou até a morte da planta ou de partes dela	comprometendo	assim	o crescimento e o incremento de biomassa (SOUZA et al.	2011; SOARES et al.	2015). Diante de tal cenário	muitas empresas com cultivos florestais em regiões de risco têm buscado estratégias para contornar o problema	de forma a aperfeiçoar o processo de seleção do local mais adequado para plantio ou para destinação de materiais genéticos resistentes.																																										
Inserção tecnológica da madeira de Corymbia spp - UFV Inserção tecnológica da madeira de Corymbia spp para setor de produção de celulose de mercado branqueada.																																																				
Manta Biodegradável A manta  FertUP e Biomanta-PRÓ é uma tecnologia única	que engloba múltiplos benefícios	sendo de nutrição	retenção de umidade	redução de tratos culturais	proteção de  sementes	eliminação de riscos de erosão e desmoronamento de solos	entre outros. Assim a produção e testes das mantas em maior escala se tornam importantes para expandir o produto para o mercado.																																													
Mata Nativa O software Mata Nativa é a ferramenta mais completa oferecida no mercado brasileiro para realizar inventários de florestas nativas	permitindo avaliar a suficiência amostral	realizar toda a avaliação fitossociológica	mensurar a volumetria	estoque de carbono e outros usos para a madeira	fazer análises qualitativas da floresta	entre tantas outras análises.																																														
Melhoramento de Teca A produção de flores é fundamental em qualquer espécie para que os cruzamentos direcionados do programa de melhoramento genético possam ser realizados. O não florescimento de um indivíduo impede que os seus alelos e suas características favoráveis sejam aproveitados na sua descendência. Principalmente para a Teca	em que o período vegetativo é longo antes do florescimento (10 a 15 anos)	o desenvolvimento de uma técnica para a indução do florescimento precoce é de fundamental importância. O florescimento precoce da espécie proporcionará grande impacto no ciclo de melhoramento genético da espécie	encurtando drasticamente o tempo.																																																	
Melhoramento Genético de Bambu Na busca por alternativas viáveis e sustentáveis	avaliar o bambu como suprimento de  matéria prima é algo fundamental	tendo em vista que as características físico - químicas das  espécis de bambu podem tornar o bioredutor similar a outros combustíveis derivados de  madeira e com ciclo de corte de em média 2	5 anos. Entre as fontes alternativas	o bambu pode ser destacado por apresentar algumas propriedades similares à madeira e outros materiais lignocelulósicos em termos de teor de  carbono e potencial calorífico (NMBA	2005). Os bambus apesar de serem pouco exigentes com relação ao solo e regime hídrico	somente alcançarão boa produtividade se todas as condições ideais para cada espécie forem observadas	assim tal cultura carece de estudos.																																													
Melhoramento Genético RJ O melhoramento genético florestal desempenha um papel crucial na produção sustentável de madeira	na conservação da  biodiversidade e na mitigação das mudanças climáticas	uma vez que árvores melhoradas geneticamente podem crescer mais rapidamente	capturar mais carbono da atmosfera e resistir a ameaças ambientais	contribuindo assim para a saúde e a resiliência das florestas. Assim	o projeto visa o desenvolvimento de novos materiais genéticos de bambu	Eucalyptus e Corymbia adaptados para na região norte do Rio de janeiro.																																														
Métodos moleculares O projeto busca elucidar as bases moleculares e fisiológicas associadas à tolerância diferencial a seca e alta temperatura em Eucalyptus. Para tanto	utilizar-se uma combinação de ferramentas fisiológicas	metabólicas e moleculares na tentativa de identificar potenciais bioindicadores que possam ser utilizados na seleção precoce de genótipos capazes de apresentar melhor desempenho frente a estresses térmico e limitação hídrico.																																																		
